
Varste si grupe de varsta, Sexe, Medii de rezidenta, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
0- 4 ani, Total, Total, MACROREGIUNEA UNU, Anul 2015, Numar persoane, 249078
0- 4 ani, Total, Total, Regiunea NORD-VEST, Anul 2015, Numar persoane, 126957
0- 4 ani, Total, Total, Bihor, Anul 2015, Numar persoane, 28509
0- 4 ani, Total, Total, Bistrita-Nasaud, Anul 2015, Numar persoane, 15763
0- 4 ani, Total, Total, Cluj, Anul 2015, Numar persoane, 32151
0- 4 ani, Total, Total, Maramures, Anul 2015, Numar persoane, 21966
0- 4 ani, Total, Total, Satu Mare, Anul 2015, Numar persoane, 16902
0- 4 ani, Total, Total, Salaj, Anul 2015, Numar persoane, 11666
0- 4 ani, Total, Total, Regiunea CENTRU, Anul 2015, Numar persoane, 122121
0- 4 ani, Total, Total, Alba, Anul 2015, Numar persoane, 15155
0- 4 ani, Total, Total, Brasov, Anul 2015, Numar persoane, 29596
0- 4 ani, Total, Total, Covasna, Anul 2015, Numar persoane, 11231
0- 4 ani, Total, Total, Harghita, Anul 2015, Numar persoane, 16179
0- 4 ani, Total, Total, Mures, Anul 2015, Numar persoane, 28490
0- 4 ani, Total, Total, Sibiu, Anul 2015, Numar persoane, 21470
0- 4 ani, Total, Total, MACROREGIUNEA DOI, Anul 2015, Numar persoane, 293583
0- 4 ani, Total, Total, Regiunea NORD-EST, Anul 2015, Numar persoane, 177212
0- 4 ani, Total, Total, Bacau, Anul 2015, Numar persoane, 31954
0- 4 ani, Total, Total, Botosani, Anul 2015, Numar persoane, 19681
0- 4 ani, Total, Total, Iasi, Anul 2015, Numar persoane, 44660
0- 4 ani, Total, Total, Neamt, Anul 2015, Numar persoane, 22703
0- 4 ani, Total, Total, Suceava, Anul 2015, Numar persoane, 36419
0- 4 ani, Total, Total, Vaslui, Anul 2015, Numar persoane, 21795
0- 4 ani, Total, Total, Regiunea SUD-EST, Anul 2015, Numar persoane, 116371
0- 4 ani, Total, Total, Braila, Anul 2015, Numar persoane, 11888
0- 4 ani, Total, Total, Buzau, Anul 2015, Numar persoane, 18798
0- 4 ani, Total, Total, Constanta, Anul 2015, Numar persoane, 35618
0- 4 ani, Total, Total, Galati, Anul 2015, Numar persoane, 23763
0- 4 ani, Total, Total, Tulcea, Anul 2015, Numar persoane, 9498
0- 4 ani, Total, Total, Vrancea, Anul 2015, Numar persoane, 16806
0- 4 ani, Total, Total, MACROREGIUNEA TREI, Anul 2015, Numar persoane, 248827
0- 4 ani, Total, Total, Regiunea SUD-MUNTENIA, Anul 2015, Numar persoane, 134251
0- 4 ani, Total, Total, Arges, Anul 2015, Numar persoane, 26203
0- 4 ani, Total, Total, Calarasi, Anul 2015, Numar persoane, 14137
0- 4 ani, Total, Total, Dimbovita, Anul 2015, Numar persoane, 22192
0- 4 ani, Total, Total, Giurgiu, Anul 2015, Numar persoane, 12456
0- 4 ani, Total, Total, Ialomita, Anul 2015, Numar persoane, 13649
0- 4 ani, Total, Total, Prahova, Anul 2015, Numar persoane, 31984
0- 4 ani, Total, Total, Teleorman, Anul 2015, Numar persoane, 13630
0- 4 ani, Total, Total, Regiunea BUCURESTI - ILFOV, Anul 2015, Numar persoane, 114576
0- 4 ani, Total, Total, Ilfov, Anul 2015, Numar persoane, 22951
0- 4 ani, Total, Total, Municipiul Bucuresti, Anul 2015, Numar persoane, 91625
0- 4 ani, Total, Total, MACROREGIUNEA PATRU, Anul 2015, Numar persoane, 164282
0- 4 ani, Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2015, Numar persoane, 83933
0- 4 ani, Total, Total, Dolj, Anul 2015, Numar persoane, 29054
0- 4 ani, Total, Total, Gorj, Anul 2015, Numar persoane, 13165
0- 4 ani, Total, Total, Mehedinti, Anul 2015, Numar persoane, 10801
0- 4 ani, Total, Total, Olt, Anul 2015, Numar persoane, 16091
0- 4 ani, Total, Total, Valcea, Anul 2015, Numar persoane, 14822
0- 4 ani, Total, Total, Regiunea VEST, Anul 2015, Numar persoane, 80349
0- 4 ani, Total, Total, Arad, Anul 2015, Numar persoane, 19727
0- 4 ani, Total, Total, Caras-Severin, Anul 2015, Numar persoane, 11476
0- 4 ani, Total, Total, Hunedoara, Anul 2015, Numar persoane, 16180
0- 4 ani, Total, Total, Timis, Anul 2015, Numar persoane, 32966
